index	label	region_name
179	R_a32pr	Area Anterior 32 Prime
180	R_p24	Area Posterior 24
181	L_V1	Primary Visual Co+C181+C2:C180
182	L_MST	Medial Superior Temporal Area
183	L_V6	Sixth Visual Area
184	L_V2	Second Visual Area
185	L_V3	Third Visual Area
186	L_V4	Fourth Visual Area
187	L_V8	Eighth Visual Area
188	L_4	Primary Motor Cortex
189	L_3b	Primary Sensory Cortex
190	L_FEF	Frontal Eye Fields
191	L_PEF	Premotor Eye Field
192	L_55b	Area 55b
193	L_V3A	Area V3A
194	L_RSC	RetroSplenial Complex
195	L_POS2	Parieto-Occipital Sulcus Area 2
196	L_V7	Seventh Visual Area
197	L_IPS1	IntraParietal Sulcus Area 1
198	L_FFC	Fusiform Face Complex
199	L_V3B	Area V3B
200	L_LO1	Area Lateral Occipital 1
201	L_LO2	Area Lateral Occipital 2
202	L_PIT	Posterior InferoTemporal Complex
203	L_MT	Middle Temporal Area
204	L_A1	Primary Auditory Cortex
205	L_PSL	PeriSylvian Language Area
206	L_SFL	Superior Frontal Language Area
207	L_PCV	PreCuneus Visual Area
208	L_STV	Superior Temporal Visual Area
209	L_7Pm	Medial Area 7P
210	L_7m	Area 7m
211	L_POS1	Parieto-Occipital Sulcus Area 1
212	L_23d	Area 23d
213	L_v23ab	Area Ventral 23 a+b
214	L_d23ab	Area Dorsal 23 a+b
215	L_31pv	Area 31p Ventral
216	L_5m	Area 5m
217	L_5mv	Area 5m Ventral
218	L_23c	Area 23c
219	L_5L	Area 5L
220	L_24dd	Dorsal Area 24d
221	L_24dv	Ventral Area 24d
222	L_7AL	Lateral Area 7A
223	L_SCEF	Supplementary and Cingulate Eye Field
224	L_6ma	Area 6m Anterior
225	L_7Am	Medial Area 7A
226	L_7PL	Lateral Area 7P
227	L_7PC	Area 7PC
228	L_LIPv	Area Lateral IntraParietal Ventral
229	L_VIP	Ventral IntraParietal Complex
230	L_MIP	Medial IntraParietal Area
231	L_1	Area 1
232	L_2	Area 2
233	L_3a	Area 3a
234	L_6d	Dorsal Area 6
235	L_6mp	Area 6mp
236	L_6v	Ventral Area 6
237	L_p24pr	Area Posterior 24 Prime
238	L_33pr	Area 33 Prime
239	L_a24pr	Anterior 24 Prime
240	L_p32pr	Area p32 Prime
241	L_a24	Area a24
242	L_d32	Area Dorsal 32
243	L_8BM	Area 8BM
244	L_p32	Area p32
245	L_10r	Area 10r
246	L_47m	Area 47m
247	L_8Av	Area 8Av
248	L_8Ad	Area 8Ad
249	L_9m	Area 9 Middle
250	L_8BL	Area 8B Lateral
251	L_9p	Area 9 Posterior
252	L_10d	Area 10d
253	L_8C	Area 8C
254	L_44	Area 44
255	L_45	Area 45
256	L_47l	Area 47l (47 Lateral)
257	L_a47r	Area Anterior 47r
258	L_6r	Rostral Area 6
259	L_IFJa	Area IFJa
260	L_IFJp	Area IFJp
261	L_IFSp	Area IFSp
262	L_IFSa	Area IFSa
263	L_p9-46v	Area Posterior 9-46v
264	L_46	Area 46
265	L_a9-46v	Area Anterior 9-46v
266	L_9-46d	Area 9-46d
267	L_9a	Area 9 Anterior
268	L_10v	Area 10v
269	L_a10p	Area Anterior 10p
270	L_10pp	Polar 10p
271	L_11l	Area 11l
272	L_13l	Area 13l
273	L_OFC	Orbital Frontal Complex
274	L_47s	Area 47s
275	L_LIPd	Area Lateral IntraParietal Dorsal
276	L_6a	Area 6 Anterior
277	L_i6-8	Inferior 6-8 Transitional Area
278	L_s6-8	Superior 6-8 Transitional Area
279	L_43	Area 43
280	L_OP4	Area OP4/PV
281	L_OP1	Area OP1/SII
282	L_OP2-3	Area OP2-3/VS
283	L_52	Area 52
284	L_RI	RetroInsular Cortex
285	L_PFcm	Area PFcm
286	L_PoI2	Posterior Insular Area 2
287	L_TA2	Area TA2
288	L_FOP4	Frontal Opercular Area 4
289	L_MI	Middle Insular Area
290	L_Pir	Pirform Cortex
291	L_AVI	Anterior Ventral Insular Area
292	L_AAIC	Anterior Agranular Insula Complex
293	L_FOP1	Frontal Opercular Area 1
294	L_FOP3	Frontal Opercular Area 3
295	L_FOP2	Frontal Opercular Area 2
296	L_PFt	Area PFt
297	L_AIP	Anterior IntraParietal Area
298	L_EC	Entorhinal Cortex
299	L_PreS	PreSubiculum
300	L_H	Hippocampus
301	L_ProS	ProStriate Area
302	L_PeEc	Perirhinal Ectorhinal Cortex
303	L_STGa	Area STGa
304	L_PBelt	ParaBelt Complex
305	L_A5	Auditory 5 Complex
306	L_PHA1	ParaHippocampal Area 1
307	L_PHA3	ParaHippocampal Area 3
308	L_STSda	Area STSd Anterior
309	L_STSdp	Area STSd Posterior
310	L_STSvp	Area STSv Posterior
311	L_TGd	Area TG Dorsal
312	L_TE1a	Area TE1 Anterior
313	L_TE1p	Area TE1 Posterior
314	L_TE2a	Area TE2 Anterior
315	L_TF	Area TF
316	L_TE2p	Area TE2 Posterior
317	L_PHT	Area PHT
318	L_PH	Area PH
319	L_TPOJ1	Area TemporoParietoOccipital Junction 1
320	L_TPOJ2	Area TemporoParietoOccipital Junction 2
321	L_TPOJ3	Area TemporoParietoOccipital Junction 3
322	L_DVT	Dorsal Transitional Visual Area
323	L_PGp	Area PGp
324	L_IP2	Area IntraParietal 2
325	L_IP1	Area IntraParietal 1
326	L_IP0	Area IntraParietal 0
327	L_PFop	Area PF Opercular
328	L_PF	Area PF Complex
329	L_PFm	Area PFm Complex
330	L_PGi	Area Pgi
331	L_PGs	Area PGs
332	L_V6A	Area V6A
333	L_VMV1	VentroMedial Visual Area 1
334	L_VMV3	VentroMedial Visual Area 3
335	L_PHA2	ParaHippocampal Area 2
336	L_V4t	Area V4t
337	L_FST	Area FST
338	L_V3CD	Area V3CD
339	L_LO3	Area Lateral Occipital 3
340	L_VMV2	VentroMedial Visual Area 2
341	L_31pd	Area 31pd
342	L_31a	Area 31a
343	L_VVC	Ventral Visual Complex
344	L_25	Area 25
345	L_s32	Area s32
346	L_pOFC	Posterior OFC Complex
347	L_PoI1	Area Posterior Insular 1
348	L_Ig	Insular Granular Complex
349	L_FOP5	Area Frontal Opercular 5
350	L_p10p	Area Posterior 10p
351	L_p47r	Area Posterior 47r
352	L_TGv	Area TG Ventral
353	L_MBelt	Medial Belt Complex
354	L_LBelt	Lateral Belt Complex
355	L_A4	Auditory 4 Complex
356	L_STSva	Area STSv Anterior
357	L_TE1m	Area TE1 Middle
358	L_PI	Para-Insular Area
359	L_a32pr	Area Anterior 32 Prime
360	L_p24	Area Posterior 24
361	mAmyg_L	Medial Amygdala
362	mAmyg_R	Medial Amygdala
363	lAmyg_L	Lateral Amygdala
364	lAmyg_R	Lateral Amygdala
365	rHipp_L	Rostral Hippocampus
366	rHipp_R	Rostral Hippocampus
367	cHipp_L	Caudal Hippocampus
368	cHipp_R	Caudal Hippocampus
369	vCa_L	Ventral Caudate
370	vCa_R	Ventral Caudate
371	GP_L	Globus Pallidus
372	GP_R	Globus Pallidus
373	NAC_L	Nucleus Accumbens
374	NAC_R	Nucleus Accumbens
375	vmPu_L	Ventromedial Putamen
376	vmPu_R	Ventromedial Putamen
377	dCa_L	Dorsal Caudate
378	dCa_R	Dorsal Caudate
379	dlPu_L	Dorsolateral Putamen
380	dlPu_R	Dorsolateral Putamen
381	mPFtha_L	Medial Pre-frontal Thalamus
382	mPFtha_R	Medial Pre-frontal Thalamus
383	mPMtha_L	Pre-motor Thalamus
384	mPMtha_R	Pre-motor Thalamus
385	Stha_L	Sensory Thalamus
386	Stha_R	Sensory Thalamus
387	rTtha_L	Rostral Temporal Thalamus
388	rTtha_R	Rostral Temporal Thalamus
389	PPtha_L	Posterior Parietal Thalamus
390	PPtha_R	Posterior Parietal Thalamus
391	Otha_L	Occipital Thalamus
392	Otha_R	Occipital Thalamus
393	cTtha_L	Caudal Temporal Thalamus
394	cTtha_R	Caudal Temporal Thalamus
395	lPFtha_L	Lateral Pre-frontal Thalamus
396	lPFtha_R	Lateral Pre-frontal Thalamus
397	Left_I-IV	Lobule I-IV
398	Right_I-IV	Lobule I-IV
399	Left_V	Lobule V
400	Right_V	Lobule V
401	Left_VI	Lobule VI
402	Vermis_VI	Vermis VI
403	Right_VI	Lobule VI
404	Left_Crus_I	Crus I
405	Vermis_Crus_I	Vermis Crus I
406	Right_Crus_I	Crus I
407	Left_Crus_II	Crus II
408	Vermis_Crus_II	Vermis Crus II
409	Right_Crus_II	Crus II
410	Left_VIIb	Lobule VIIb
411	Vermis_VIIb	Vermis VIIb
412	Right_VIIb	Lobule VIIb
413	Left_VIIIa	Lobule VIIIa
414	Vermis_VIIIa	Vermis VIIIa
415	Right_VIIIa	Lobule VIIIa
416	Left_VIIIb	Lobule VIIIb
417	Vermis_VIIIb	Vermis VIIIb
418	Right_VIIIb	Lobule VIIIb
419	Left_IX	Lobule IX
420	Vermis_IX	Vermis IX
421	Right_IX	Lobule IX
422	Left_X	Lobule X
423	Vermis_X	Vermis X
424	Right_X	Lobule X
